records=3337 sumC=272 174 828 sumU=399 389 223 dataStart=0x1C7703
DATA\events\x32_0_0_egypt.lua	237	237	0xA18BC7	98400875
DATA\events\x32_0_1_egypt.lua	246	246	0xA18CB4	CCBFEB62
DATA\events\x33_0_0_balkans.lua	573	573	0xA18DAA	CCD309E1
DATA\events\x34_0_0_attack.lua	417	417	0xA18FE7	DB4B976C
DATA\events\x34_0_1_attack.lua	284	284	0xA19188	1CDFB1EF
DATA\events\x34_0_2_attack.lua	830	826	0xA192A4	78BF66A3
DATA\events\x36_0_0_war.lua	246	246	0xA195DE	6AD8F912
DATA\events\x37_0_0_suez.lua	298	298	0xA196D4	990F3800
DATA\events\x37_0_1_suez.lua	251	251	0xA197FE	BE886F76
DATA\events\x38_0_0_contract.lua	348	348	0xA198F9	7E119EA9
DATA\events\x38_0_1_contract.lua	246	246	0xA19A55	91B596D8
DATA\events\x39_0_0_nsdap.lua	326	326	0xA19B4B	1C9E517D
DATA\events\x40_0_0_adolf.lua	269	269	0xA19C91	7CB0675F
DATA\events\x41_0_0_roosevelt.lua	316	316	0xA19D9E	C5564034
DATA\events\x42_0_0_usa.lua	322	322	0xA19EDA	3E917F19
DATA\events\x43_0_0_adolf.lua	294	294	0xA1A01C	C6687F73
DATA\events\x44_0_0_czech.lua	257	257	0xA1A142	A9C6DD10
DATA\events\x45_0_0_ww2.lua	879	879	0xA1A243	EE1CDFF2
DATA\events\x46_0_0_francejoin.lua	291	291	0xA1A5B2	48272629
DATA\events\x46_0_2_francejoin.lua	433	433	0xA1A6D5	5DFF1640
DATA\events\x47_0_0_netherlands.lua	764	764	0xA1A886	B60BCD9E
DATA\events\x47_0_1_netherlands.lua	551	551	0xA1AB82	2CB9EDE5
DATA\events\x47_0_2_netherlands.lua	439	439	0xA1ADA9	58668EEC
DATA\events\x48_0_0_netherlands.lua	316	316	0xA1AF60	DE9977E1
DATA\events\x48_0_1_netherlands.lua	93	93	0xA1B09C	96B4AE9C
DATA\events\x48_0_2_netherlands.lua	439	439	0xA1B0F9	58668EEC
DATA\events\x49_0_0_netherlands.lua	314	314	0xA1B2B0	D20E9820
DATA\events\x49_0_1_netherlands.lua	92	92	0xA1B3EA	E1A1CD8F
DATA\events\x49_0_2_netherlands.lua	433	433	0xA1B446	5DFF1640
DATA\events\x50_0_0_afrika.lua	307	307	0xA1B5F7	0FEC5211
DATA\events\x50_0_1_afrika.lua	281	281	0xA1B72A	C0C70F90
DATA\events\x50_0_2_afrika.lua	435	435	0xA1B843	FC9F0F1C
DATA\events\x50_1_0_afrika.lua	309	309	0xA1B9F6	84B02DE8
DATA\events\x50_1_1_afrika.lua	277	277	0xA1BB2B	3C427D03
DATA\events\x50_1_2_afrika.lua	435	435	0xA1BC40	EB0A9149
DATA\events\x50_2_0_afrika.lua	305	305	0xA1BDF3	46CDBFF5
DATA\events\x50_2_1_afrika.lua	283	283	0xA1BF24	5A8255FE
DATA\events\x50_2_2_afrika.lua	433	433	0xA1C03F	BDF29F88
DATA\events\x52_0_0_suez.lua	299	299	0xA1C1F0	73F1E27B
DATA\events\x53_0_0_control.lua	540	540	0xA1C31B	D0A4ED46
DATA\events\x53_0_1_control.lua	168	168	0xA1C537	F1ED226C
DATA\events\x54_0_0_pearl.lua	572	572	0xA1C5DF	38294796
DATA\events\x54_0_1_pearl.lua	242	242	0xA1C81B	EA49A5E7
DATA\events\x55_0_0_reign.lua	229	229	0xA1C90D	64AB3B90
DATA\events\x55_1_0_reign.lua	247	247	0xA1C9F2	9915AC12
DATA\events\x57_0_0_offence.lua	274	274	0xA1CAE9	A37675D6
DATA\events\x58_0_0_ww2end.lua	444	444	0xA1CBFB	BE156870
DATA\events\x59_0_0_tokio.lua	456	456	0xA1CDB7	80D9B3BC
DATA\events\x59_0_1_tokio.lua	389	389	0xA1CF7F	8A14DC69
DATA\events\x60_0_0_newbank.lua	337	337	0xA1D104	00726CD1
DATA\events\x61_0_0_nato.lua	330	330	0xA1D255	D85626A2
DATA\events\x62_0_0_egypt.lua	249	249	0xA1D39F	4DE816B1
DATA\events\new_todo\x62_0_0_egypt.lua	249	249	0xA1D498	4DE816B1
DATA\events\new_todo\x62_0_1_egypt.lua	249	249	0xA1D591	4DE816B1
DATA\fxs\2D.fx	519	519	0xA1D68A	0458D6DA
DATA\fxs\assistant.fx	782	782	0xA1D891	263BF274
DATA\fxs\bad_selection.fx	362	362	0xA1DB9F	EF69BEFC
DATA\fxs\blinker.fx	523	523	0xA1DD09	6183D6E4
DATA\fxs\blinker_a.fx	712	712	0xA1DF14	3AA9A8C6
DATA\fxs\building.fx	315	315	0xA1E1DC	9CB0C88C
DATA\fxs\building_alphatest.fx	445	445	0xA1E317	5AD288E7
DATA\fxs\building_highlight.fx	434	434	0xA1E4D4	35C62AA6
DATA\fxs\building_highlight_inprogress.fx	762	762	0xA1E686	9398E971
DATA\fxs\building_shadow.fx	496	496	0xA1E980	CEEF311B
DATA\fxs\burning.fx	446	446	0xA1EB70	418E121B
DATA\fxs\car.fx	542	542	0xA1ED2E	EBA1D2FD
DATA\fxs\CityAlphed.fx	710	710	0xA1EF4C	4CA29325
DATA\fxs\CityAlphed_pipe.fx	1026	1026	0xA1F212	BD946A25
DATA\fxs\default.fx	2595	2595	0xA1F614	74131852
DATA\fxs\env.fx	763	763	0xA20037	2D113794
DATA\fxs\grass.fx	524	524	0xA20332	34496B31
DATA\fxs\inprogress.fx	705	705	0xA2053E	57BEFB5E
DATA\fxs\light_sabre.fx	779	779	0xA207FF	D2BC6584
DATA\fxs\little_red_blinking_dot.fx	616	616	0xA20B0A	4A3B7F8F
DATA\fxs\logo.fx	690	690	0xA20D72	5CCD693B
